flow_id,FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label,Attack
xgb-d01-benign-workstation-dns-001,1777647900000,1777647900201,10.60.100.21,53000,10.60.60.5,53,17,5,63,1,156,1,0,0,0,201,0,0,0,0,156,63,63,156,0,0,0,0,0,0,2495,6178,1,1,0,0,0,0,0,0,0,59209,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-workstation-dns-002,1777648332000,1777648332063,10.60.100.42,53001,10.60.60.5,53,17,5,73,1,140,1,0,0,0,63,0,0,0,0,140,73,73,140,2,1,0,0,0,0,9125,17500,1,1,0,0,0,0,0,0,0,35422,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-patient-portal-web-003,1777648764000,1777648773072,198.51.100.22,49166,203.0.113.10,443,6,91,152,3,0,0,2,2,0,9072,9072,0,128,128,52,48,0,52,0,0,100,2,0,0,134,0,3,0,0,0,0,8192,0,25600,100,0,0,0,0,3016,6055,4535,1519,0,0,0,0,Benign,Benign
xgb-d01-benign-workstation-dns-004,1777649196000,1777649196076,10.60.100.84,53003,10.60.60.5,53,17,5,73,1,140,1,0,0,0,76,0,0,0,0,140,73,73,140,1,0,0,0,0,0,7584,14545,1,1,0,0,0,0,0,0,0,17637,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-patient-portal-web-005,1777649628000,1777649637001,198.51.100.24,49180,203.0.113.10,443,6,91,152,3,0,0,2,2,0,9001,9001,0,128,128,52,48,0,52,0,0,100,2,0,0,135,0,3,0,0,0,0,8192,0,25600,100,0,0,0,0,3001,5999,4500,1498,0,0,0,0,Benign,Benign
xgb-d01-benign-workstation-dns-006,1777650060000,1777650060057,10.60.100.46,53005,10.60.60.5,53,17,5,73,1,140,1,0,0,0,57,0,0,0,0,140,73,73,140,2,1,0,0,0,0,10068,19310,1,1,0,0,0,0,0,0,0,15541,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-patient-portal-web-007,1777650492000,1777650501000,198.51.100.26,49194,203.0.113.10,443,6,91,152,3,0,0,2,2,0,9000,9000,0,128,128,52,48,0,52,0,0,100,2,0,0,135,0,3,0,0,0,0,8192,0,25600,100,0,0,0,0,2985,6015,4500,1514,0,0,0,0,Benign,Benign
xgb-d01-attack-portal-web-probe-008,1777650924000,1777650924644,198.51.100.88,49201,203.0.113.10,443,6,91,80,2,40,1,22,6,20,644,644,0,232,232,40,40,40,40,0,0,0,0,0,0,992,496,3,0,0,0,0,1200,0,0,0,0,0,0,0,644,644,644,0,0,0,0,0,Malicious,Brute_Force_-Web
xgb-d01-benign-workstation-dns-009,1777651356000,1777651356030,10.60.100.29,53008,10.60.60.5,53,17,5,70,1,183,1,0,0,0,30,0,0,0,0,183,70,70,183,6,2,0,0,0,0,18064,47225,1,1,0,0,0,0,0,0,0,2839,1,9,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-workstation-dns-010,1777651788000,1777651788036,10.60.100.50,53009,10.60.60.5,53,17,5,57,1,89,1,0,0,0,36,0,0,0,0,89,57,57,89,2,1,0,0,0,0,12324,19243,2,0,0,0,0,0,0,0,0,20926,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
