flow_id,day,flow_family,src_ip,dst_ip,src_port,dst_port,protocol,route,ml_prob,ml_prob_band,effective_review_threshold,adjusted_by_watchlist,dynamic_threshold_applied,dynamic_threshold_reason,watchlist_item,match_strength,trigger_matched,context_only,severity,confidence
xgb-d01-benign-workstation-dns-001,d01,workstation-dns,10.60.100.21,10.60.60.5,53000,53,17,tier1_llm,0.06318067759275436,0.04-0.08,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.9
xgb-d01-benign-workstation-dns-002,d01,workstation-dns,10.60.100.42,10.60.60.5,53001,53,17,tier1_llm,0.058454226702451706,0.04-0.08,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.85
xgb-d01-benign-workstation-dns-004,d01,workstation-dns,10.60.100.84,10.60.60.5,53003,53,17,tier1_llm,0.062291841953992844,0.04-0.08,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.85
xgb-d01-benign-workstation-dns-006,d01,workstation-dns,10.60.100.46,10.60.60.5,53005,53,17,tier1_llm,0.05210700258612633,0.04-0.08,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.85
xgb-d01-benign-workstation-dns-009,d01,workstation-dns,10.60.100.29,10.60.60.5,53008,53,17,tier1_llm,0.10629485547542572,0.08-0.12,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.85
xgb-d01-benign-workstation-dns-010,d01,workstation-dns,10.60.100.50,10.60.60.5,53009,53,17,tier1_llm,0.08324751257896423,0.08-0.12,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.85
xgb-d01-benign-workstation-dns-012,d01,workstation-dns,10.60.100.92,10.60.60.5,53011,53,17,tier1_llm,0.06875026226043701,0.04-0.08,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.95
xgb-d01-benign-workstation-dns-014,d01,workstation-dns,10.60.100.54,10.60.60.5,53013,53,17,tier1_llm,0.06571821123361588,0.04-0.08,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.85
xgb-d01-benign-workstation-dns-016,d01,workstation-dns,10.60.100.82,10.60.60.5,53015,53,17,tier1_llm,0.06724371761083603,0.04-0.08,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.9
xgb-d01-benign-workstation-dns-018,d01,workstation-dns,10.60.100.58,10.60.60.5,53017,53,17,tier1_llm,0.07710665464401245,0.04-0.08,0.04,True,True,Tier 2 threat pattern marks repeated external DNS as critical review traffic.,P1-SOURCE-PATTERN-DNS-TUNNEL-BURST,review_candidate,True,False,medium,0.85
